Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,details,image_url,year,decadef,type,tool,rgb_colors,hex_colors
40,40,40,40,40,Santa Monica Boulevard,1979 - acrylic on canvas 24x36 in.,https://www.hockney.com/img/gallery/paintings/70s/79G38.jpg,1979,1970s,paintings,,"[[33, 179, 233], [190, 215, 211], [215, 131, 46], [111, 129, 146], [19, 118, 110]]","['#21b3e9', '#bed7d3', '#d7832e', '#6f8192', '#13766e']"
41,41,41,41,41,Schwimmbad Mitternacht  (Paper Pool 11),1978 - colored and pressed paper pulp 72x85 1/2 in.,https://www.hockney.com/img/gallery/paintings/70s/78C34.jpg,1978,1970s,paintings,,"[[47, 146, 162], [48, 42, 60], [87, 165, 175], [26, 113, 164], [47, 75, 78]]","['#2f92a2', '#302a3c', '#57a5af', '#1a71a4', '#2f4b4e']"
42,42,42,42,42,A Large Diver  (Paper Pool 27),1978 - colored and pressed paper pulp 72x171 in.,https://www.hockney.com/img/gallery/paintings/70s/78C35.jpg,1978,1970s,paintings,,"[[114, 163, 190], [31, 121, 176], [220, 212, 194], [71, 124, 99], [43, 33, 30]]","['#72a3be', '#1f79b0', '#dcd4c2', '#477c63', '#2b211e']"
43,43,43,43,43,Looking At Pictures On A Screen,1977 - oil on canvas 74x74 in.,https://www.hockney.com/img/gallery/paintings/70s/77B36.jpg,1977,1970s,paintings,,"[[213, 215, 192], [155, 157, 147], [144, 102, 72], [216, 172, 109], [90, 48, 33]]","['#d5d7c0', '#9b9d93', '#906648', '#d8ac6d', '#5a3021']"
44,44,44,44,44,My Parents,1977 - oil on canvas 72x72 in.,https://www.hockney.com/img/gallery/paintings/70s/77B37.jpg,1977,1970s,paintings,,"[[149, 172, 163], [111, 89, 76], [225, 167, 109], [190, 192, 205], [18, 150, 124]]","['#95aca3', '#6f594c', '#e1a76d', '#bec0cd', '#12967c']"
45,45,45,45,45,Model With Unfinished Self-Portrait,1977 - oil on canvas 60x60 in.,https://www.hockney.com/img/gallery/paintings/70s/77B35.jpg,1977,1970s,paintings,,"[[245, 230, 186], [188, 168, 140], [11, 56, 51], [112, 87, 52], [26, 118, 167]]","['#f5e6ba', '#bca88c', '#0b3833', '#705734', '#1a76a7']"
46,46,46,46,46,Self-Portrait With Blue Guitar,1977 - oil on canvas 60x72 in.,https://www.hockney.com/img/gallery/paintings/70s/77B34.jpg,1977,1970s,paintings,,"[[226, 209, 190], [114, 161, 186], [199, 152, 136], [31, 101, 127], [193, 116, 34]]","['#e2d1be', '#72a1ba', '#c79888', '#1f657f', '#c17422']"
47,47,47,47,47,Invented Man Revealing Still Life,1975 - oil on canvas 36x28 1/2 in.,https://www.hockney.com/img/gallery/paintings/70s/75C05.jpg,1975,1970s,paintings,,"[[243, 224, 195], [215, 196, 167], [132, 159, 152], [64, 93, 110], [153, 124, 91]]","['#f3e0c3', '#d7c4a7', '#849f98', '#405d6e', '#997c5b']"
48,48,48,48,48,Kerby (After Hogart) Useful Knowledge,1975 - oil on canvas 72x60 in.,https://www.hockney.com/img/gallery/paintings/70s/75C04.jpg,1975,1970s,paintings,,"[[225, 220, 208], [171, 127, 111], [122, 76, 59], [16, 115, 110], [96, 184, 178]]","['#e1dcd0', '#ab7f6f', '#7a4c3b', '#10736e', '#60b8b2']"
49,49,49,49,49,Shirley Goldfarb & Gregory Masurovsky,1974 - acrylic on canvas 45x84 in.,https://www.hockney.com/img/gallery/paintings/70s/74B01.jpg,1974,1970s,paintings,,"[[226, 208, 191], [163, 170, 155], [131, 120, 83], [12, 60, 65], [41, 114, 109]]","['#e2d0bf', '#a3aa9b', '#837853', '#0c3c41', '#29726d']"
